"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Clinton","New York","NY","New York","New York",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1163.63636363636,1178.67867867868,1231.76823176823,1266.9046282185,1268.76876876877,1236.26373626374,1165,1231.70889163056,1272.52252252252,1279.7227443609,1304.6055577816,1308.27067669173,1307.37712634264,1346.15384615385,1357.14285714286,1355.07977260224,1350.88935088935,1420.02989536622,1416.04832380634,1426.42642642643,1412.06675224647,1412.06675224647,1426.42642642643,1429.4631710362,1442.30769230769,1447.54316069057,1449.27536231884,1449.81470179814,1449.70414201183,1438.28036258659,1431.12744962445,1432.7917282127,1424.74653320121,1427.94479873132,1416.77595397242,1427.94479873132,1427.94479873132,1432.7917282127,1462.39366856897,1418.34828101644,1441.35849489858,1464.28571428571,1485.40778313499,1475.60423005173,1499.25074925075,1499.25074925075
"Alexandria West","Alexandria","VA","Washington","Alexandria City",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.43583535109,296.894736842105,298.267512305945,289.572659808167,285.935085007728,277.118644067797,286.373528344982,277.118644067797,289.346246973366,271.186440677966,291.457286432161,288.740920096852,302.892561983471,301.708428246014,302.415815796097,271.489104116223,277.844430992736,277.239709443099,281.415859564165,286.501377410468,282.415337615646,286.501377410468,284.503631961259,289.514866979656,282.415337615646,292.011019283747,294.077134986226,276.836825218952,260.290556900726,265.133171912833
"Financial District","New York","NY","New York","New York",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1712.96296296296,1732.95454545455,1781.45514223195,1800.92592592593,1800.17846794163,1779.99603030203,1800.17846794163,1770.93596059113,1785.20625889047,1760,1776.19555141154,1800.17846794163,1798.71263964915,1822.40391749906,1832.22931227018
"Flatiron District","New York","NY","New York","New York",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1679.19799498747,1762.34979973298,1747.15447154472,1879.89944592653,1893.93939393939,1918.18181818182,1760.93916755603,1788.58924189767,1715.62082777036,1714.95327102804,1683.50168350168,1744.95454364606,1923.07692307692,2088.01723899005,2010.29532414488,2000,2016.42225031606,1966.9923857868,1975.07482229704,1994.52384178906,1947.67441860465,1980.45267489712,1975.57471264368,2010.79769533691,2046.48645794837,2062.28956228956
"Landmark-Van Dom","Alexandria","VA","Washington","Alexandria City",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.199772985244,198.68154158215,204.510253246372,204.193548387097,199.884125144844,193.156373517787,198.809523809524,202.365308804205,195.719489981785,193.49319999712,190.25417779699,187.62677484787,186.709562287323,186.664024946704,187.62677484787,195.719489981785,205.883390127471,206.672932330827,204.199772985244,206.672932330827
"Flamingo Lummus","Miami Beach","FL","Miami-Fort Lauderdale","Miami-Dade",26,313.148148148148,313.753581661891,303.236797274276,288.093573791882,281.176470588235,273.740763570227,278.947368421053,282.027281167424,292.134831460674,283.041589517163,285.698637494346,276.595716198126,272.18045112782,279.032258064516,277.591973244147,285.528031290743,297.862431616676,293.221093731569,300.617387966786,307.72476788985,310.993640699523,325.519016774622,332.323232323232,333.556747095621,312.361111111111,317.666666666667,319.419790104948,331.944444444444,327.272727272727,324.786324786325,339.225041500449,344.307456080929,355.281207133059,322.990126939351,343.093146706658,346.220582369366,355.994766327584,363.51661444773,369.083720985287,364.516129032258,377.777777777778,385.674931129477,394.524959742351,398.550724637681,414.15098629029,412.931034482759,400.297619047619,415.281654948994,423.883318140383,434.102099817407,426.755218216319,416.317580164057,425.183479211492,430.020194370819,430.625155048375,433.182629107981,431.997724927291,432.378740970072,439.393610084764,442.459016393443,451.715407290663,445.409429280397,437.5,439.705882352941,449.34033196198,441.696113074205,439.705882352941,450.549450549451,445.3300124533,448.05876674743,459.344229644106,463.471196889146,472.618145466858,463.471196889146,454.545454545455,462.730145739383,466.235854177976,459.070796460177,464.555488560614,459.070796460177,456.416209371043
"Winchester","Las Vegas","NV","Las Vegas","Clark",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.366960907945,110.169491525424,93.6454849498328,102.925684485007,107.061790668348,100,96.5,96.5,104.171494785632,95.9911320831469,104.171494785632,104.171494785632,103.012746234067,100.252206809584,99.3421052631579,103.650586701434,103.567318757192,97.813578826237,97.813578826237,104.539722572509,100.695249130939,100.695249130939,105.45267888065,105.629102555739,105.541069100391,102.913248025055,105.708245243129,105.124835742444,105.98651032842
"Brickell","Miami","FL","Miami-Fort Lauderdale","Miami-Dade",28,250.94816687737,255.451127819549,259.9,270.204988913525,281.25,272.343324250681,270.980926430518,262.242259124719,273.444782168186,261.604364063905,272.838328792007,276.430517711172,280.2734375,298.837116559524,293.124368048534,290.009775171065,314.007512095747,312.291666666667,319.84129125252,311.989100817439,320.284237726098,320.284237726098,335.483870967742,339.630924630925,325,324.601366742597,319.230769230769,342.377260981912,367.897727272727,359.628770301624,354.879594423321,344.019728729963,355.413961038961,348.929879148629,372.945638432364,391.291638307367,393.081761006289,394.980184940555,395.822012891792,393.561786085151,398.666666666667,404.551201011378,421.313506815366,424.739195230999,433.622141740471,445.409429280397,432.989690721649,444.036403912702,442.326164410625,434.835476686544,441.195062095635,447.056886663144,454.556962025316,454.441913439636,454.398826979472,450.741598434097,461.994478951001,461.441213653603,470.055190930788,468.564650059312,465.123813004533,463.662790697674,453.588531248106,453.900709219858,448.521916411825,442.710409524569,440.379403794038,446.521287642783,447.570963294028,446.521287642783,458.374689826303,459.863000373325,454.907161803714,455.3038285915,446.009389671361,450.607475885535,444.015444015444,441.25862635557,439.481268011527,444.297082228117,440.789473684211
"Waikiki","Honolulu","HI","Urban Honolulu","Honolulu",29,552.599784019588,574.358974358974,572.556845670053,544.984104356877,541.431261770245,545.205479452055,518.44262295082,528.63436123348,523.310023310023,528.455284552846,520.93220788873,506.461086637298,509.401709401709,491.776798825257,508.42753535108,508.083140877598,526.755852842809,536.889087656529,534.180071263087,534.611495683285,541.818034018411,532.454361054767,538,550.047254016591,541.666666666667,528.089887640449,539.325842696629,555.762081784387,549.617182062245,550.621669626998,552.454780361757,596.833205479452,600.484261501211,596,598.152424942263,598.086124401914,598.152424942263,600.484261501211,598.086124401914,599.568240153666,618.613138686131,575.057736720554,607.423345337647,597.935290740589,592.762744686312,579.745450929701,585.595756500546,575.221238938053,582.107843137255,564.121893401156,571.1525479343,603.574370956632,610.236220472441,590.158749057427,614.754098360656,601.647383453551,592.253579884993,620.748299319728,617.513206517695,620.272314674735,595.505617977528,593.75,589.887640449438,636.612021857924,631.930670955061,637.786869728013,647.348433929292,630.395340446369,642.384105960265,644.304138465165,632.536382536382,624.899355877617,630.651244233424,598.245614035088,630.255092563928,615.288220551378,619.333591631151,625.448028673835,632.241881540619,621.492007104796,620.401175966191
"Back Bay","Boston","MA","Boston","Suffolk",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.556867846587,846.327683615819,858.949880668258,893.996168582376,890.941546077685,846.708478300678,845.93023255814,871.140939597315,870.93023255814,918.371212121212,984.9157054126,1013.143483023,1003.29489291598,1009.10134715026,1006.43572327044,1010.36269430052,1025.70620946177,1008.23723228995,1005.90103294249,981.083523218355,983.14606741573,965.367965367965,1034.89888197219,1039.30131004367,1054.05405405405,1006.60873387728,988.785046728972,986.70504824351,1008.96112014002,1012.82051282051,1015.53166069295
